code,name,category,description,status,condition
E425,Конжак,Стабилизаторы,"Конжак (Конжаковая мука (Konjac, Konjac flour), Конжаковая камедь (Konjac gum), Конжаковый глюкоманнан (Konjac glucomannane). Загуститель. Халяль.",halal,
E430,Полиоксиэтилен (8) стеарат,Стабилизаторы,"Полиоксиэтилен (8) стеарат (Polyoxyethylene (8) stearate). Эмульгатор. Халяль.",halal,
E431,Полиоксиэтилен (40) стеарат,Стабилизаторы,"Полиоксиэтилен (40) стеарат Polyoxyethylene (40) stearate). Эмульгатор. Халяль.",halal,
E432,Полиоксиэтилен (20) сорбитан монолаурат,Стабилизаторы,"Полиоксиэтилен (20) сорбитан монолаурат, Твин 20 (Polyoxyethylene (20) sorbitan monolaurate). Эмульгатор. Халяль.",halal,
E433,Полиоксиэтилен (20) сорбитан моноолеат,Стабилизаторы,"Полиоксиэтилен (20) сорбитан моноолеат, Твин 80 (Polyoxyethylene (20) sorbitan monooleate. Эмульгатор. Халяль.",halal,
E434,Полиоксиэтилен (20) сорбитан монопальмитат,Стабилизаторы,"Полиоксиэтилен (20) сорбитан монопальмитат, Твин 40 (Polyoxyethylene (20) sorbitan monopalmitate)",undefined,
E435,Полиоксиэтилен (20) сорбитан моностеарат,Стабилизаторы,"Полиоксиэтилен (20) сорбитан моностеарат, Твин 60 (Polyoxyethylene (20) sorbitan monostearate)",halal,
E436,Полиоксиэтилен (20) сорбитан три-стеарат,Стабилизаторы,"Полиоксиэтилен (20) сорбитан три-стеарат (Polyoxyethylene (20) sorbitan tristearate)",halal,
E440,Пектины,Стабилизаторы,"Пектины (Pectins)",halal,
E441,Желатин,Стабилизаторы,"Желатин (Gelatin)",haram,
E442,Аммонийные соли фосфатидиловой кислоты,Стабилизаторы,"Аммонийные соли фосфатидиловой кислоты (Ammoniun salts of phosphatidic acid)",halal,
E444,Сахарозы ацетат изобутират,Стабилизаторы,"Сахарозы ацетат изобутират (Sucrose acetate, isobutirat)",halal,
E445,Эфиры глицерина и смоляных кислот,Стабилизаторы,"Эфиры глицерина и смоляных кислот (Glycerol esters of wood resin)",halal,
E446,Сукцистеарин,Стабилизаторы,"Сукцистеарин (Succistearin)",halal,
E450,Пирофосфаты,Стабилизаторы,"Пирофосфаты (Diphosphates), Дигидропирофосфат натрия (Disodium diphosphate), Моногидропирофосфат натрия (Trisodium diphosphate), Пирофосфат натрия (Tetrasodium diphosphate), Дигидропирофосфат калия (Dipotassium diphosphate), Пирофосфат калия (Tetrapotassium diphosphate), Пирофосфат кальция (Dicalcium diphosphate), Дигидропирофосфат кальция (Calcium dihydrogen diphosphate), Пирофосфат магния (Dimagnesium diphosphate)",halal,
E451,Трифосфаты,Стабилизаторы,"Трифосфаты (Triphosphates), Трифосфат натрия (5-замещенный) (Pentasodium triphosphate), Трифосфат калия (5-замещенный) (Pentapotassium triphosphate)",halal,
E452,Полифосфаты,Стабилизаторы,"Полифосфаты (Polyphosphates), Полифосфат натрия (Sodium polyphosphate), Полифосфат калия (Potassium polyphosphate), Полифосфат натрия-кальция (Sodium calcium polyphosphate), Полифосфаты кальция (Calcium polyphosphates), Полифосфаты аммония (Ammonium polyphosphates)",halal,
E459,бета-Циклодекстрин,Стабилизаторы,"бета-Циклодекстрин (Beta-cyclodextrin)",halal,
E460,Целлюлоза,Стабилизаторы,"Целлюлоза (Cellulose), Целлюлоза (Microcrystalline cellulose), Целлюлоза в порошке (Powdered cellulose)",halal,
E461,Метилцеллюлоза,Стабилизаторы,"Метилцеллюлоза (Methyl cellulose)",halal,
E462,Этилцеллюлоза,Стабилизаторы,"Этилцеллюлоза (Ethyl cellulose)",halal,
E463,Гидроксипропилцеллюлоза,Стабилизаторы,"Гидроксипропилцеллюлоза (Hydroxypropyl cellulose)",halal,
E464,Гидроксипропилметилцеллюлоза,Стабилизаторы,"Гидроксипропилметилцеллюлоза (Hydroxypropyl methyl cellulose)",halal,
E465,Метилэтилцеллюлоза,Стабилизаторы,"Метилэтилцеллюлоза (Methyl ethyl cellulose)",halal,
E466,Карбоксиметилцеллюлоза натриевая соль,Стабилизаторы,"Карбоксиметилцеллюлоза натриевая соль (Sodium carboxymethyl cellulose)",halal,
E467,Этилгидроксиэтилцеллюлоза,Стабилизаторы,"Этилгидроксиэтилцеллюлоза (Ethylhydroxyethyl cellulose)",halal,
E468,Кроскарамеллоза,Стабилизаторы,"Кроскарамеллоза (Croscaramellose)",halal,
E469,Карбоксиметилцеллюлоза ферментативно гидролизованная,Стабилизаторы,"Карбоксиметилцеллюлоза ферментативно гидролизованная",halal,
E471,Моно- и диглицериды жирных кислот,Стабилизаторы,"Моно- и диглицериды жирных кислот (Mono- and diglycerides of fatty acids)",suspicious,
E472A,Глицерина и уксусной и жирных кислот эфиры,Стабилизаторы,"Глицерина и уксусной и жирных кислот эфиры (Acetic and fatty acid esters of glycerol)",suspicious,
E472B,Глицерина и молочной и жирных кислот эфиры,Стабилизаторы,"Глицерина и молочной и жирных кислот эфиры (Lactic and fatty acid esters of glycerol)",suspicious,
E472C,Глицерина и лимонной кислоты и жирных кислот эфиры,Стабилизаторы,"Глицерина и лимонной кислоты и жирных кислот эфиры (Citric and fatty acid esters of glycerol)",suspicious,
E472D,Моно- и диглицериды жирных кислот и винной кислоты,Стабилизаторы,"Моно- и диглицериды жирных кислот и винной кислоты, эфиры (Tartaric acid esters of Mono- and diglycerides of fatty acids)",undefined,
E472G,Моноглицеридов и янтарной кислоты эфиры,Стабилизаторы,"Моноглицеридов и янтарной кислоты эфиры (Succinylated monoglycerides)",suspicious,
E472E,Глицерина и диацетилвинной и жирных кислот эфиры,Стабилизаторы,"Глицерина и диацетилвинной и жирных кислот эфиры (Diacetyltartaric and fatty acid esters of glycerol)",suspicious,
E472F,Глицерина и винной, уксусной и жирных кислот смешанные эфиры,Стабилизаторы,"Глицерина и винной, уксусной и жирных кислот смешанные эфиры (Mixed tartaric, acetic and fatty acid esters of glycerol)",suspicious,
E473,Сахарозы и жирных кислот, эфиры,Стабилизаторы,"Сахарозы и жирных кислот, эфиры (Sucrose esters of fatty acids)",halal,
E474,Сахароглицериды,Стабилизаторы,"Сахароглицериды (Sucroglycerides)",undefined,
E475,Полиглицерина и жирных кислот эфиры,Стабилизаторы,"Полиглицерина и жирных кислот эфиры (Polyglycerol esters of fatty acids)",halal,
E476,Полиглицерина и взаимоэтерифицированных рициноловых кислот эфиры,Стабилизаторы,"Полиглицерина и взаимоэтерифицированных рициноловых кислот эфиры (Polyglycerol esters of interesterified ricinoleic acid)",halal,
E477,Пропиленгликоля и жирных кислот эфиры,Стабилизаторы,"Пропиленгликоля и жирных кислот эфиры (Propylene glycol esters of fatty acids)",halal,
E478,Лактилированных жирных кислот глицерина и пропиленгликоля эфиры,Стабилизаторы,"Лактилированных жирных кислот глицерина и пропиленгликоля эфиры (Lactylated fatty esters of glycerol and propylene glycol)",suspicious,
E479,Термически окисленное соевое масло,Стабилизаторы,"Термически окисленное соевое масло с моно- и диглицеридами жирных кислот",halal,
E480,Диоктилсульфосукцинат натрия,Стабилизаторы,"Диоктилсульфосукцинат натрия (Dioctyl sodium sulphosuccinate)",halal,
E481,Лактилаты натрия,Стабилизаторы,"Лактилаты натрия (Sodium lactylates), Стеароиллактилат натрия (Sodium stearoyl lactylate), Олеиллактилат натрия (Sodium oleyl lactylate monostearate)",undefined,
E482,Лактилаты кальция,Стабилизаторы,"Лактилаты кальция (Calcium lactylates)",halal,
E483,Стеарилтартрат,Стабилизаторы,"Стеарилтартрат (Stearyl tartrate)",halal,
E484,Стеарилцитрат,Стабилизаторы,"Стеарилцитрат (Stearyl citrate)",halal,
E491,Сорбитан моностеарат,Стабилизаторы,"Сорбитан моностеарат, СПЭН 60 (Sorbitan monostearate)",halal,
E492,Сорбитан тристеарат,Стабилизаторы,"Сорбитан тристеарат (Sorbitan tristearate)",halal,
E493,Сорбитан монолаурат,Стабилизаторы,"Сорбитан монолаурат, СПЭН 20 (Sorbitan monolaurate)",halal,
E494,Сорбитан моноолеат,Стабилизаторы,"Сорбитан моноолеат, СПЭН 80 (Sorbitan monooleate)",halal,
E495,Сорбитан монопальмитат,Стабилизаторы,"Сорбитан монопальмитат, СПЭН 40 (Sorbitan monopalmitate)",halal,
E496,Сорбитан триолеат,Стабилизаторы,"Сорбитан триолеат, СПЭН 85 (Sorbitan trioleat)",halal,
E500,,Эмульгаторы,,undefined,
E599,,Эмульгаторы,"Создают однородную смесь несмешиваемых фаз, например, воды и масла",undefined,
E500,Карбонаты натрия,Эмульгаторы,"Карбонаты натрия (Sodium carbonates), Карбонат натрия (Sodium carbonate), Гидрокарбонат натрия (Sodium hydrogen carbonate), Смесь карбоната и гидрокарбоната натрия (Sodium sesquicarbonate)",halal,
E501,Карбонаты калия,Эмульгаторы,"Карбонаты калия (Potassium carbonates), Карбонат калия (Potassium carbonate), Гидрокарбонат калия (Potassium hydrogen carbonate)",halal,
E503,Карбонаты аммония,Эмульгаторы,"Карбонаты аммония (Ammonium carbonates), Карбонат аммония (Ammonium carbonate), Гидрокарбонат аммония (Ammonium hydrogen carbonate)",halal,
E504,Карбонаты магния,Эмульгаторы,"Карбонаты магния (Magnesium carbonates), Карбонат магния (Magnesium carbonate), Гидрокарбонат магния (Magnesium hydrogen carbonate)",undefined,
E505,Карбонат железа,Эмульгаторы,"Карбонат железа (Ferrous carbonat)",halal,
E507,Соляная кислота,Эмульгаторы,"Соляная кислота (Hydrochloric acid)",halal,
E508,Хлорид калия,Эмульгаторы,"Хлорид калия (Potassium chloride)",halal,
E509,Хлорид кальция,Эмульгаторы,"Хлорид кальция (Calcium chloride)",undefined,
E510,Хлорид аммония,Эмульгаторы,"Хлорид аммония (Ammonium chloride)",halal,
E511,Хлорид магния,Эмульгаторы,"Хлорид магния (Magnesium chloride)",undefined,
E513,Серная кислота,Эмульгаторы,"Серная кислота (Sulphuric acid)",halal,
E514,Сульфаты натрия,Эмульгаторы,"Сульфаты натрия (Sodium sulphates)",halal,
E515,Сульфаты калия,Эмульгаторы,"Сульфаты калия (Potassium sulphates)",halal,
E516,Сульфаты кальция,Эмульгаторы,"Сульфаты кальция (Calcium sulphate)",halal,
E517,Сульфаты аммония,Эмульгаторы,"Сульфаты аммония (Ammonium sulphate)",halal,
E518,Сульфаты магния,Эмульгаторы,"Сульфаты магния (Magnesium sulphate)",halal,
E519,Сульфат меди,Эмульгаторы,"Сульфат меди (Cupric sulphate)",halal,
E520,Сульфат алюминия,Эмульгаторы,"Сульфат алюминия (Aluminium sulphate)",halal,
E521,Сульфат алюминия-натрия,Эмульгаторы,"Сульфат алюминия-натрия, квасцы алюмонатриевые (Aluminium sodium sulphate)",halal,
E522,Сульфат алюминия-калия,Эмульгаторы,"Сульфат алюминия-калия, квасцы алюмокалиевые (Aluminium potassium sulphate)",halal,
E523,Сульфат алюминия-аммония,Эмульгаторы,"Сульфат алюминия-аммония, квасцы алюмоаммиачные (Aluminium ammonium sulphate)",undefined,
E524,Гидроксид натрия,Эмульгаторы,"Гидроксид натрия (Sodium hydroxide)",halal,
E525,Гидроксид калия,Эмульгаторы,"Гидроксид калия (Potassium hydroxide)",halal,
E526,Гидроксид кальция,Эмульгаторы,"Гидроксид кальция (Calcium hydroxide)",halal,
E527,Гидроксид аммония,Эмульгаторы,"Гидроксид аммония (Ammonium hydroxide)",halal,
E528,Гидроксид магния,Эмульгаторы,"Гидроксид магния (Magnesium hydroxide)",halal,
E529,Оксид кальция,Эмульгаторы,"Оксид кальция (Calcium oxide)",halal,
E530,Оксид магния,Эмульгаторы,"Оксид магния (Magnesium oxide)",halal,
E535,Ферроцианид натрия,Эмульгаторы,"Ферроцианид натрия (Sodium ferrocyanide)",halal,
E536,Ферроцианид калия,Эмульгаторы,"Ферроцианид калия (Potassium ferrocyanide)",halal,
E538,Ферроцианид кальция,Эмульгаторы,"Ферроцианид кальция (Calcium ferrocyanide)",halal,
E539,Тиосульфат натрия,Эмульгаторы,"Тиосульфат натрия (Sodium thiosulphate)",halal,
E541,Алюмофосфат натрия,Эмульгаторы,"Алюмофосфат натрия (Sodium aluminium phosphate), Кислотный (Acidic), Основной (Basic)",halal,
E542,Фосфат костный,Эмульгаторы,"Фосфат костный (фосфат кальция) (Bone phosphate) (essentiale Calcium phosphate tribasic)",haram,
E550,Силикаты натрия,Эмульгаторы,"Силикаты натрия (Sodium silicates), Силикат натрия (Sodium silicate), Мета-силикат натрия (Sodium metasilicate)",halal,
E551,Диоксид кремния аморфный,Эмульгаторы,"Диоксид кремния аморфный (Silicon dioxide amorphous)",halal,
E552,Силикат кальция,Эмульгаторы,"Силикат кальция (Calcium silicate)",halal,
E553,Силикаты магния,Эмульгаторы,"Силикаты магния (Magnesium silicates), Силикат магния (Magnesium silicate), Трисиликат магния (Magnesium trisilicate), Тальк (Talc)",halal,
E554,Алюмосиликат натрия,Эмульгаторы,"Алюмосиликат натрия (Sodium aluminosilicate)",halal,
E555,Алюмосиликат калия,Эмульгаторы,"Алюмосиликат калия (Potassium aluminium silicate)",halal,
E556,Алюмосиликат кальция,Эмульгаторы,"Алюмосиликат кальция (Calcium aluminium silicate)",halal,
E558,Бентонит,Эмульгаторы,"Бентонит (Bentonite)",halal,
E559,Алюмосиликат,Эмульгаторы,"Алюмосиликат (Aluminium silicate)",halal,
E560,Силикат калия,Эмульгаторы,"Силикат калия (Potassium silicate)",halal,
E570,Жирные кислоты,Эмульгаторы,"Жирные кислоты (Fatty acids)",halal,
E574,Глюконовая кислота,Эмульгаторы,"Глюконовая кислота (D-) (Gluconic acid (D-))",halal,
E575,Глюконо-дельта лактон,Эмульгаторы,"Глюконо-дельта лактон (Glucono delta-lactone)",halal,
E576,Глюконат натрия,Эмульгаторы,"Глюконат натрия (Sodium gluconate)",halal,
E577,Глюконат калия,Эмульгаторы,"Глюконат калия (Potassium gluconate)",halal,
E578,Глюконат кальция,Эмульгаторы,"Глюконат кальция (Calcium gluconate)",halal,
E579,Глюконат железа,Эмульгаторы,"Глюконат железа (Ferrous gluconate)",halal,
E580,Глюконат магния,Эмульгаторы,"Глюконат магния (Magnesium gluconate)",halal,
E585,Лактат железа,Эмульгаторы,"Лактат железа (Ferrous lactate)",halal,
E600,,Усилители вкуса,,undefined,
E699,,Усилители вкуса,"Повышают или усиливают вкус и аромат продуктов",undefined,
E620,Глутаминовая кислота,Усилители вкуса,"Глутаминовая кислота, L(+) (Glutamic acid, L(+)",halal,
E621,Глутамат натрия,Усилители вкуса,"Глутамат натрия 1-замещенный (Monosodium glutamate)",halal,
E622,Глутамат калия,Усилители вкуса,"Глутамат калия 1-замещенный (Monopotassium Glutamate)",halal,
E623,Глутамат кальция,Усилители вкуса,"Глутамат кальция (Calcium glutamate)",halal,
E624,Глутамат аммония,Усилители вкуса,"Глутамат аммония 1-замещенный (Monoammonium glutamate)",halal,
E625,Глутамат магния,Усилители вкуса,"Глутамат магния (Magnesium glutamate)",halal,
E626,Гуаниловая кислота,Усилители вкуса,"Гуаниловая кислота (Guanylic acid)",halal,
E627,5-Гуанилат натрия,Усилители вкуса,"5-Гуанилат натрия 2-замещенный (Disodium 5-guanylate)",halal,
E628,5-Гуанилат калия,Усилители вкуса,"5-Гуанилат калия 2-замещенный (Dipotassium S-guanylate)",halal,
E629,5-Гуанилат кальция,Усилители вкуса,"5-Гуанилат кальция (Calcium 5-guanylate)",halal,
E630,Инозиновая кислота,Усилители вкуса,"Инозиновая кислота (Inosimc acid)",halal,
E631,5-Инозинат натрия,Усилители вкуса,"5-Инозинат натрия 2-замещенный (Disodium 5-inosinate)",halal,
E632,Инозинат калия,Усилители вкуса,"Инозинат калия (Potassium inosinate)",halal,
E633,5-Инозинат кальция,Усилители вкуса,"5-Инозинат кальция (Calcium 5-inosinate)",halal,
E634,5-Рибонуклеотиды кальция,Усилители вкуса,"5-Рибонуклеотиды кальция (Calcium 5-ribonucleotides)",halal,
E635,5-Рибонуклеотиды натрия,Усилители вкуса,"5-Рибонуклеотиды натрия 2-замещенные (Disodium 5-ribonucleotides)",halal,
E636,Мальтол,Усилители вкуса,"Мальтол (Maltol)",halal,
E637,Этилмальтол,Усилители вкуса,"Этилмальтол (Ethyl maltol)",halal,
E640,Глицин,Усилители вкуса,"Глицин (Glycine)",undefined,
E641,L-Лейцин,Усилители вкуса,"L-Лейцин (L-Leucine)",undefined,
E642,Лизин гидрохлорид,Усилители вкуса,"Лизин гидрохлорид (Lysin hydrochlorid)",halal,
E900,,Пеногасители,,undefined,
E999,,Пеногасители,"Предупреждают или снижают образование пены",undefined,
E900,Полидиметилсилоксан,Пеногасители,"Полидиметилсилоксан (Polydimethylsiloxane)",halal,
E901,Воск пчелиный,Пеногасители,"Воск пчелиный, белый и желтый (Beeswax white and yellow)",halal,
E902,Воск свечной,Пеногасители,"Воск свечной (Candelilla wax)",halal,
E903,Воск карнаубский,Пеногасители,"Воск карнаубский (Carnauba wax)",undefined,
E904,Шеллак,Пеногасители,"Шеллак (Shellac)",haram,
E905A,Вазелиновое масло,Пеногасители,"Вазелиновое масло «пищевое» (Mineral oil food grade)",halal,
E905B,Вазелин,Пеногасители,"Вазелин (Petrolatum)",halal,
E905C,Парафин,Пеногасители,"Парафин (Petroleum wax), Микрокристаллический воск (Microcrystalline wax), Парафиновый воск (Paraffin wax)",halal,
E906,Бензойная смола,Пеногасители,"Бензойная смола (Benzoin gum)",undefined,
E908,Воск рисовых отрубей,Пеногасители,"Воск рисовых отрубей (Rice bran wax)",halal,
E909,Спермацетовый воск,Пеногасители,"Спермацетовый воск (Spermaceti wax)",halal,
E910,Восковые эфиры,Пеногасители,"Восковые эфиры (Wax esters)",halal,
E913,Ланолин,Пеногасители,"Ланолин (Lanolin)",halal,
E920,Цистеин,Пеногасители,"Цистеин, L- и его гидрохлориды - натриевая и калиевая соли (Cysteine, L-, and its hydrochlorides - sodium and potassium salts)",haram,
E921,Цистин,Пеногасители,"Цистин, L-, и его гидрохлориды - натриевая и калиевая соли (Cystine, L-, and its hydrochlorides -sodium and potassium salts)",haram,
E927A,Азодикарбонамид,Пеногасители,"Азодикарбонамид (Azodicarbonamide)",halal,
E927B,Карбамид,Пеногасители,"Карбамид (мочевина) (Carbamide (urea)",halal,
E928,Перекись бензоила,Пеногасители,"Перекись бензоила (Benzoyl peroxide)",halal,
E930,Перекись кальция,Пеногасители,"Перекись кальция (Calcium peroxide)",halal,
E938,Аргон,Пеногасители,"Аргон (Argon)",halal,
E939,Гелий,Пеногасители,"Гелий (Gellium)",halal,
E940,Дихлордифторметан,Пеногасители,"Дихлордифторметан, (хладон-12) (Dichlorodifluoromethane)",halal,
E941,Азот,Пеногасители,"Азот (Nitrogen)",halal,
E942,Закись азота,Пеногасители,"Закись азота (Nitrous oxide)",halal,
E943A,Бутан,Пеногасители,"Бутан (Butane)",halal,
E943B,Изобутан,Пеногасители,"Изобутан (Isobutane)",halal,
E944,Пропан,Пеногасители,"Пропан (Propane)",halal,
E945,Хлорпентафторэтан,Пеногасители,"Хлорпентафторэтан (Chloropentafluoroethane)",halal,
E946,Октафторциклобутан,Пеногасители,"Октафторциклобутан (Octafluorocyclobutane)",halal,
E948,Кислород,Пеногасители,"Кислород (Oxygen)",undefined,
E950,Ацесульфам калия,Пеногасители,"Ацесульфам калия (Acesulfame potassium)",halal,
E951,Аспартам,Пеногасители,"Аспартам (Aspartame)",suspicious,
E952,Цикламовая кислота,Пеногасители,"Цикламовая кислота и ее натриевая, калиевая и кальциевая соли (Cyclamic acid and Na, К, Са salts)",halal,
E953,Изомальт,Пеногасители,"Изомальт, изомальтит (Isomalt, isomaltitol)",halal,
E954,Сахарин,Пеногасители,"Сахарин (натриевая, калиевая, кальциевая соли) (Saccharin and Na, К, Са salts)",halal,
E955,Сукралоза,Пеногасители,"Сукралоза (трихлоргалактосахароза) (Sucralose (Trichlorogalactosucrose)",halal,
E957,Тауматин,Пеногасители,"Тауматин (Thaumatin)",halal,
E958,Глицирризин,Пеногасители,"Глицирризин (Glycyrrhizin)",halal,
E959,Неогесперидин дигидрохалкон,Пеногасители,"Неогесперидин дигидрохалкон (Neohesperidine dihydrochalcone)",halal,
E960,Стевиозид,Пеногасители,"Стевиозид (Stevioside)",halal,
E962,Твинсвит,Пеногасители,"Твинсвит (Twinsweet)",halal,
E965,Мальтит,Пеногасители,"Мальтит и мальтитный сироп (Maltitol and maltitol syrup)",halal,
E966,Лактит,Пеногасители,"Лактит (Lactitol)",halal,
E967,Ксилит,Пеногасители,"Ксилит (Xylitol)",halal,
E999,Квиллайи экстракт,Пеногасители,"Квиллайи экстракт (Quillaia extracts)",halal,
E1000,"Вновь формируемая группа, в которую входят глазирующие агенты, подсластители соков и кондитерских изделий, добавки, препятствующие слеживанию сахара, соли, для обработки муки, крахмала и иные",Другое,,undefined,
E1000,Холевая кислота,Другое,"Холевая кислота (Cholic acid)",haram,
E1001,Холин,Другое,"Холин, соли и эфиры (Choline salts and esters)",haram,
E1100,Амилазы,Другое,"Амилазы (Amylases)",haram,
E1101,Протеазы,Другое,"Протеазы (Proteases), Протеаза (Protease), Папаин (Papain), Бромелайн (Bromelain), Фицин (Ficin)",haram,
E1102,Глюкозооксидаза,Другое,"Глюкозооксидаза (Glucose oxidase)",haram,
E1103,Инвертазы,Другое,"Инвертазы (Invertases)",haram,
E1104,Липазы,Другое,"Липазы (Lipases)",haram,
E1105,Лизоцим,Другое,"Лизоцим (Lysozyme)",haram,
E1200,Полидекстрозы,Другое,"Полидекстрозы А и N (Polydextroses A and N)",haram,
E1201,Поливинилпирролидон,Другое,"Поливинилпирролидон (Polyvinylpyrrolidone)",undefined,
E1202,Поливинилполипирролидон,Другое,"Поливинилполипирролидон (Polyvinylpolypyrrolidone)",halal,
E1400,Декстрины,Другое,"Декстрины, крахмал, обработанный термически, белый и желтый (Dextrins, roasted starch, white and yellow)",halal,
E1401,Крахмал,Другое,"Крахмал, обработанный кислотой (Acid-treated starch)",halal,
E1402,Крахмал,Другое,"Крахмал, обработанный щелочью (Alkaline-treated starch)",undefined,
E1403,Крахмал,Другое,"Крахмал отбеленный (Bleached starch)",halal,
E1404,Крахмал,Другое,"Крахмал окисленный (Oxidized starch)",halal,
E1405,Крахмал,Другое,"Крахмал, обработанный ферментными препаратами (Starches enzime-treated)",halal,
E1410,Монокрахмалфосфат,Другое,"Монокрахмалфосфат (Monostarch phosphate)",halal,
E1411,Дикрахмалглицерин,Другое,"Дикрахмалглицерин «сшитый» (Distarch glycerol)",halal,
E1412,Дикрахмалфосфат,Другое,"Дикрахмалфосфат, этерифицированный тринатрийметафосфатом; этерифицированный хлорокисью фосфора (Distarch phosphate esterified with sodium trimetasphosphate; esterified with phosphorus oxychloride)",halal,
E1413,Фосфатированный дикрахмалфосфат,Другое,"Фосфатированный дикрахмалфосфат «сшитый» (Phosphated distarch phosphate)",halal,
E1414,Дикрахмалфосфат ацетилированный,Другое,"Дикрахмалфосфат ацетилированный «сшитый» (Acetylated distarch phosphate)",halal,
E1420,Крахмал ацетатный,Другое,"Крахмал ацетатный, этерифицированный уксусным ангидридом (Starch acetate esterified with acetic anhydride)",halal,
E1421,Крахмал ацетатный,Другое,"Крахмал ацетатный, этерифицированный винилацетатом (Starch acetate esterified with vinyl acetate)",halal,
E1422,Дикрахмаладипат ацетилированный,Другое,"Дикрахмаладипат ацетилированный (Acetylated distarch adipate)",halal,
E1423,Дикрахмалглицерин ацетилированный,Другое,"Дикрахмалглицерин ацетилированный (Acetylated distarch glycerol)",halal,
E1440,Крахмал оксипропилированный,Другое,"Крахмал оксипропилированный (Hydroxypropyl starch)",halal,
E1442,Дикрахмалфосфат оксипропилированный,Другое,"Дикрахмалфосфат оксипропилированный «сшитый» (Hydroxypropyl distarch phosphate)",halal,
E1443,Дикрахмалглицерин оксипропилированный,Другое,"Дикрахмалглицерин оксипропилированный (Hydroxypropyl distarch glycerol)",halal,
E1450,Крахмала и натриевой соли октенилянтарной кислоты эфир,Другое,"Крахмала и натриевой соли октенилянтарной кислоты эфир (Starch sodium octenyl succinate)",halal,
E1451,Крахмал ацетилированный окисленный,Другое,"Крахмал ацетилированный окисленный (Acetilated oxydised starch)",halal,
E1503,Касторовое масло,Другое,"Касторовое масло (Castor oil)",undefined,
E1505,Триэтилцитрат,Другое,"Триэтилцитрат (Triethyl citrate)",undefined,
E1518,Триацетин,Другое,"Триацетин (Triacetin)",undefined,
E1520,Пропиленгликоль,Другое,"Пропиленгликоль (Propylene glycol)",halal,
E1521,Полиэтиленгликоль,Другое,"Полиэтиленгликоль (Polyethylene glycol)",haram,